,stars,tags,text
0,3,Positive,Food was good but it came an hour early.
1,1,Negative,Meh. And driver was blasting music in his car
2,4,Positive,Best Thai food nearby!
3,4,Positive,Great food! Just not a timely delivery
4,4,Positive,The food was delicious.
5,5,Positive,Pretty good! The portion was quite big
6,5,Positive,"A kind call came right after my order was placed to double check it was okay that I had two entrees and only one rice. The food came early- delivered with a big smile and I had the sense the gentleman was genuinely kind.  Curry was hot, perfectly spiced, filled with fresh veggies, tasted wonderful and sat really well. We highly recommend this establishment."
7,4,Positive,Excellent steamed vegetables and pharmacy see lew. 
8,4,Positive,Food was great! Packaging not so much. Sauce and soup spill all over and pooled in the bag. 
9,5,Positive,Good food. Big portions.
10,3,Negative,Usually our favorites. This order the spice level was  off with one dish bring to spicy to eat and the other no spice. Just disappointed. 
11,5,Positive,Great food and service!
12,5,Positive,It's one of our favorites
13,5,Positive,Excellent food and service!
14,4,Positive,Loved the food! Would order again.
15,5,Positive,Truly my favorite Thai restaurant. We’ve had food from almost every Thai restaurant in the greater Seattle area and Bahn Thai is hands down the best every time. 
16,5,Positive,We really liked it
17,5,Positive,Delicious! New favorite Thai restaurant in Queen Anne
18,3,Negative,"Disappointment from a long time neighbor.

They made everything mild even though I noted it should be medium. There was literally no spice. So, bland. Also, don't get tofu in your Tom Yum. The chunks were huge and cooked separately. I prefer fresh tofu in smaller pieces, in soup."
19,3,Negative,Really good food but slow.
20,5,Positive,One of my favorites for many years.
21,4,Negative,A little expensive
22,5,Positive,I love their food and the staff is so kind.
23,4,Positive,"Very good, a bit spicier than expected"
24,5,Positive,"This ave was delish. The  oodles were the right level of spicy and had lots of vegetables. The egg rolls were thin and crunchy, how I like them. The place looks cute too. "
25,5,Positive,Bahn Thai is the best Thai restaurant in Seattle. Superb FRESH food expertly cooked.
26,5,Positive,Best pad Thai I've had in the US
27,5,Positive,"Bahn Thai is amazing. The food is exceptionally fresh tasting, and the flavors are bright. The menu is diverse, something for everyone. I love the family that runs it!"
28,5,Positive,"Outstanding food. Well packaged for delivery (no leaky containers, unlike some other places.) Delivery was prompt and ahead of schedule, and food still piping hot. Will order again."
29,5,Positive,Amazing!! Support small local businesses!
30,5,Positive,"Good food, lots of thoughtful choices on the menu!"
31,5,Positive,"So good. Best Tom Yum, and best panang in the city. And I love they offer proper brown rice. "
32,2,Negative,"I ordered extra spicy, but the food was not spicy at all"
33,5,Positive,Best Thai in the area! I always order it a little too spicy but keep going back :)
34,5,Positive,"I love Thai food- and I love spicy food. I literally ask EVERY Thai place I ever order from to please make my food spicy, and no one ever does. Banh Thai, upon my first order with them (just moved here), called to personally ask me how spicy I wanted it. It was fantastic all around. Thank you so much- amazing food: you have new regulars. 

Might go with a 7 next time. 😉 "
35,4,Negative,Our fav Thai place. Something the food was tasted a bit different than usual. Still good just not great this time. 
36,5,Positive,Great food! Arrived hot and earlier than scheduled
37,2,Negative,Food was late and both entrees weren’t correct. Food was ok still but disappointing. 
38,5,Positive,Great food as always!
39,4,Negative,"Tasty, but meat quality was not very good"
40,2,Negative,Food took an hour not 20-30 min. Was told it wasn't ready when I arrived but after asking several times discovered that it was sitting on the counter. Then they forgot the ice cream and I had to wait for that. 
41,5,Positive,"Great food, excellent selection"
